Unnamed: 0,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time
9375,15,19.0,899.0,-0.48,22.7,99,27.5,70,5,16.1,0.0,52.0,70,4
1510,15,79.0,2839.0,0.16,38.8,93,65.1,69,6,16.1,0.299999999999998,0.999999999999988,70,0
2927,16,77.0,2790.0,0.52,78.8,95,26.3,65,6,16.1,1.3,18.0,70,4
18396,19,75.0,2693.0,0.69,65.9,92,89.0,85,35,8.0,0.0,14.0,90,0
5783,14,85.0,3065.0,0.0,41.2,90,65.5,75,5,16.1,0.0,9.99999999999998,70,0
2941,16,81.0,2923.0,0.0,38.8,95,26.3,64,6,16.1,1.3,7.99999999999998,80,2
6015,14,44.0,1615.0,0.24,82.0,101,82.0,78,5,16.1,0.0,116.0,70,6
14515,16,0.999999999999997,964.0,-0.76,13.3,90,23.5,97,7,8.0,8.0,46.0,70,2
8360,15,33.0,2726.0,0.57,35.7,103,53.3,74,7,16.1,0.0,52.0,70,5
5628,14,80.0,2292.0,-0.19,82.0,86,81.6,73,7,16.1,0.0,3.99999999999998,90,0
9507,15,5.0,1176.0,-0.41,25.5,102,29.0,76,5,16.1,0.0,85.0,70,6
7775,15,0.0,903.0,0.0,21.6,99,23.1,76,5,16.1,0.0,39.0,70,1
16341,16,0.0,1126.0,0.0,27.8,94,77.6,92,7,8.0,8.0,7.99999999999998,70,1
20296,20,100.0,2885.0,0.19,71.0,93,89.8,79,7,8.0,0.0,5.99999999999998,90,1
21498,15,103.0,2919.0,0.92,26.3,93,67.8,109,18,3.2,8.0,6.99999999999999,70,1
17507,19,106.0,3060.0,-0.57,18.4,91,24.3,89,7,6.4,0.0,12.0,90,1
6139,14,54.0,2694.0,0.5,27.5,93,28.2,75,5,16.1,0.0,41.0,70,2
1813,15,0.0,896.0,0.0,21.2,95,26.3,78,7,6.4,1.5,96.0,50,3
20448,20,86.0,2468.0,0.0,16.9,90,23.1,81,7,8.0,0.0,9.99999999999998,50,1
18624,19,82.0,2940.0,0.0,18.0,91,23.9,80,7,6.4,0.0,0.999999999999988,80,0
6569,14,37.0,1931.0,-0.26,33.3,97,20.0,74,5,16.1,0.0,37.0,70,2
4513,16,82.0,2346.0,-0.26,26.3,95,26.3,62,6,16.1,4.7,22.0,90,0
12212,15,26.0,2059.0,-0.14,81.2,95,94.1,107,18,3.2,0.0,19.0,70,0
12092,15,80.0,2315.0,-0.32,15.7,94,41.6,94,18,3.2,0.0,3.99999999999998,90,0
16907,19,61.0,2213.0,0.23,85.5,94,94.5,85,7,5.6,9.6,18.0,70,0
1326,15,10.0,929.0,-0.71,23.5,101,27.1,65,9,8.0,2.4,24.0,90,6
6969,14,0.0,895.0,0.0,22.7,96,27.5,68,5,16.1,0.0,62.0,70,5
13015,15,117.0,3341.0,0.14,71.0,93,95.3,101,7,8.0,0.0,0.0,90,0
14986,16,117.0,3362.0,0.0,26.7,94,65.9,96,7,8.0,8.0,2.99999999999999,90,0
14639,16,68.0,2467.0,0.22,21.2,91,46.3,98,7,8.0,8.0,9.99999999999998,70,0
10330,15,0.0,913.0,0.0,22.0,105,23.1,69,5,16.1,0.0,85.0,70,4
4864,16,67.0,1923.0,-1.02,24.3,95,26.3,59,6,16.1,1.3,30.0,80,0
19377,19,84.0,3016.0,-0.24,58.8,94,90.2,80,7,6.4,4.8,57.0,90,5
10757,15,53.0,2686.0,0.0,28.6,96,17.3,74,5,16.1,0.0,35.0,70,1
14235,16,52.0,2480.0,0.77,16.9,93,50.6,92,7,8.0,8.0,61.0,90,2
11635,16,0.0,896.0,0.0,22.0,102,23.9,70,6,16.1,0.0,12.0,70,2
1615,15,63.0,2264.0,-0.21,82.0,91,82.4,63,6,16.1,0.299999999999998,4.99999999999999,70,0
6180,14,30.0,2450.0,0.51,72.5,98,75.3,79,5,16.1,0.0,30.0,50,2
1340,15,7.99999999999999,1294.0,-0.24,21.6,102,24.3,71,9,8.0,2.4,102.0,90,6
21893,15,75.0,2719.0,-0.28,20.0,93,32.5,101,18,3.2,0.0,12.0,60,0
7580,15,31.0,1625.0,0.51,82.0,101,78.8,75,5,16.1,0.0,29.0,70,1
20965,20,118.0,3402.0,-0.24,19.2,91,25.5,84,7,8.0,0.0,5.99999999999998,90,0
19821,19,91.0,3272.0,0.49,70.6,93,94.5,84,7,5.6,9.6,22.0,90,0
7400,14,10.0,1399.0,0.24,37.3,103,71.8,77,5,16.1,0.0,30.0,70,2
15082,16,108.0,3086.0,0.0,21.2,91,43.1,96,7,8.0,8.0,19.0,90,1
22748,15,78.0,2823.0,0.0,23.1,94,49.4,93,18,3.2,0.0,5.99999999999998,80,1
27,15,0.0,896.0,0.0,21.2,105,23.5,85,9,16.1,2.4,8.99999999999999,70,0
19911,19,120.0,3438.0,-0.15,19.2,91,26.7,87,7,5.6,9.6,5.99999999999998,80,0
868,15,82.0,2341.0,-0.49,26.7,98,18.4,66,9,8.0,2.4,8.99999999999999,70,1
16574,16,0.0,661.0,0.0,12.5,94,22.7,96,7,8.0,8.0,8.99999999999999,70,1
19069,19,74.0,2682.0,0.23,83.5,94,90.6,81,7,6.4,0.0,14.0,70,0
12350,15,87.0,2488.0,-0.33,17.3,90,18.8,105,18,3.2,0.0,3.99999999999998,80,0
13503,15,61.0,2885.0,-0.11,20.4,94,22.0,93,18,3.2,8.0,8.99999999999999,90,2
15493,16,37.0,1763.0,-0.67,15.3,91,23.1,102,7,8.0,24.0,17.0,80,0
9224,15,37.0,1945.0,-1.39,25.1,97,18.8,76,5,16.1,0.0,33.0,70,0
601,15,75.0,2166.0,0.0,29.4,82,27.8,63,7,8.0,0.0,13.0,90,1
15275,16,68.0,1920.0,0.42,18.4,94,41.6,97,7,8.0,8.0,11.0,90,1
4341,16,74.0,2686.0,0.52,82.0,95,26.3,68,6,16.1,4.7,6.99999999999999,90,0
15609,16,67.0,2446.0,-0.83,16.9,91,23.9,93,7,8.0,24.0,26.0,70,1
