Unnamed: 0,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time
14978,16,120.0,3417.0,-0.22,25.1,91,52.5,101,7,8.0,8.0,6.99999999999999,90,0
22513,15,91.0,2585.0,0.59,58.0,92,89.8,102,18,3.2,8.0,8.99999999999999,70,0
1477,15,70.0,2528.0,0.0,68.2,87,78.8,64,9,8.0,2.4,2.99999999999999,70,0
1435,15,58.0,2106.0,-0.49,39.6,78,69.0,68,9,8.0,2.4,2.99999999999999,90,7
15017,16,104.0,2973.0,-0.28,18.0,93,22.4,98,7,8.0,8.0,1.99999999999998,80,0
9366,15,42.0,1855.0,-0.25,24.7,99,19.2,70,5,16.1,0.0,46.0,70,4
10248,15,0.0,908.0,0.0,23.9,98,30.6,69,5,16.1,0.0,85.0,70,4
18120,19,93.0,3380.0,-0.24,18.8,93,25.5,80,35,8.0,0.0,11.0,70,0
16368,16,7.99999999999999,1169.0,0.0,17.3,94,35.3,92,7,8.0,8.0,7.99999999999998,70,1
18026,19,30.0,2200.0,-0.23,20.4,94,49.4,84,7,6.4,0.0,83.0,90,3
13961,16,68.0,2464.0,-0.13,56.1,94,89.4,93,7,8.0,24.0,30.0,70,1
5642,14,81.0,2912.0,0.26,82.0,85,85.1,74,7,16.1,0.0,17.0,70,0
11801,15,0.0,654.0,0.0,12.5,94,23.9,94,18,3.2,0.0,8.99999999999999,70,0
771,15,77.0,2234.0,0.0,26.3,98,18.0,62,9,8.0,2.4,11.0,70,1
5474,14,45.0,2286.0,0.84,81.6,103,76.1,74,7,16.1,0.0,12.0,70,0
6261,14,22.0,1771.0,0.92,32.5,95,45.1,69,5,16.1,0.0,51.0,70,3
18291,19,67.0,3148.0,0.49,63.1,94,89.8,81,18,3.2,8.8,7.99999999999998,60,1
20702,20,85.0,2425.0,0.17,16.9,91,22.0,83,18,8.0,0.0,11.0,80,0
15775,16,33.0,1568.0,-0.73,14.9,90,23.1,98,7,8.0,24.0,235.0,80,15
1177,15,73.0,2645.0,-0.41,27.1,91,17.3,66,9,8.0,2.4,4.99999999999999,90,1
6373,14,46.0,2332.0,0.76,34.5,103,68.6,72,5,16.1,0.0,98.0,70,4
600,15,75.0,2194.0,-0.54,36.1,82,38.0,63,7,8.0,0.0,15.0,70,1
