ID,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time
9336,15,32.0,2609.0,1.14,73.7,103,77.3,69,5,16.1,0.0,34.0,70,1
5507,14,90.0,2588.0,0.24,82.0,96,80.4,78,7,16.1,0.0,13.0,70,0
8414,15,63.0,2276.0,0.0,32.2,87,37.6,72,7,16.1,0.0,7.99999999999998,70,0
3361,16,72.0,2591.0,0.25,82.0,95,26.3,67,6,16.1,4.7,8.99999999999999,70,1
7280,14,0.0,909.0,0.0,22.0,101,23.9,71,5,16.1,0.0,28.0,70,2
13775,15,81.0,2351.0,-0.18,36.1,93,28.2,92,18,3.2,0.0,40.0,80,1
19657,19,88.0,2583.0,-0.24,59.2,94,78.0,87,7,6.4,4.8,15.0,90,0
5567,14,84.0,3056.0,0.14,82.0,103,85.1,78,7,16.1,0.0,9.99999999999998,70,0
21098,20,76.0,2215.0,-1.4,16.1,94,22.0,84,7,8.0,0.0,12.0,70,0
14804,16,84.0,2400.0,0.21,53.7,90,89.4,101,7,8.0,8.0,8.99999999999999,90,0
12368,15,85.0,2442.0,-1.23,16.5,91,23.1,96,18,3.2,0.0,6.99999999999999,80,1
2907,16,79.0,2841.0,0.21,82.0,95,26.3,64,6,16.1,1.3,1.99999999999998,90,0
13339,15,68.0,2497.0,-0.41,16.9,91,22.4,102,18,3.2,8.0,6.99999999999999,90,1
9012,15,20.0,3767.0,1.55,55.7,96,78.8,71,7,16.1,0.0,47.0,70,4
8412,15,62.0,2232.0,0.0,41.2,87,76.1,74,7,16.1,0.0,31.0,70,0
16406,16,16.0,1208.0,-0.43,13.7,94,20.4,84,7,8.0,8.0,12.0,70,2
1462,15,42.0,2226.0,0.65,80.4,81,81.6,65,9,8.0,2.4,83.0,90,9
17141,19,49.0,2367.0,0.0,74.9,94,92.2,78,7,6.4,4.8,245.0,70,11
16191,16,0.0,854.0,-0.39,12.9,94,22.0,97,7,8.0,8.0,27.0,70,1
11779,15,0.0,656.0,0.0,12.5,91,23.5,98,18,3.2,0.0,8.99999999999999,70,0
7640,15,14.0,1268.0,0.48,82.0,99,72.9,74,5,16.1,0.0,48.0,70,1
1883,15,74.0,2144.0,0.26,25.1,95,26.3,68,7,6.4,1.5,0.999999999999988,70,0
6860,14,45.0,1675.0,-0.5,32.9,99,41.2,74,5,16.1,0.0,42.0,70,1
3930,16,76.0,2184.0,-0.25,38.8,95,26.3,66,6,16.1,4.7,20.0,80,0
22137,15,64.0,2302.0,-0.24,26.7,96,18.4,76,5,16.1,0.0,48.0,70,4
875,15,73.0,1653.0,-0.62,23.5,98,19.2,68,9,8.0,2.4,12.0,50,7
10175,15,6.0,1169.0,-1.52,24.7,90,26.3,71,5,16.1,0.0,81.0,70,3
19981,19,114.0,3240.0,0.16,26.7,91,94.1,83,7,5.6,9.6,12.0,90,0
22550,15,78.0,2797.0,0.46,61.6,93,89.8,110,18,3.2,8.0,16.0,90,8
2052,15,44.0,2251.0,0.26,32.5,95,26.3,67,9,8.0,2.4,83.0,90,9
16518,16,20.0,1536.0,0.87,38.4,94,86.3,96,7,8.0,8.0,12.0,70,2
5499,14,83.0,2408.0,0.0,74.5,98,79.6,73,7,16.1,0.0,28.0,70,2
21154,20,0.0,1047.0,-0.5,13.3,94,23.1,74,7,8.0,0.0,8.99999999999999,70,0
8054,15,55.0,2565.0,0.0,32.2,96,19.6,72,7,16.1,0.0,21.0,70,2
12484,15,64.0,2336.0,0.4,54.1,94,91.8,98,18,3.2,8.0,75.0,70,6
20887,20,97.0,2798.0,-0.52,17.6,93,22.7,81,7,8.0,0.0,43.0,90,3
19935,19,118.0,3375.0,0.0,18.0,91,21.2,81,7,5.6,9.6,0.999999999999988,90,0
10819,16,37.0,1953.0,-0.29,25.1,94,30.2,74,5,16.1,0.0,149.0,50,8
5002,16,106.0,3047.0,-0.29,28.6,95,26.3,63,6,16.1,4.7,4.99999999999999,90,1
11445,16,10.0,862.0,0.32,25.9,102,49.4,76,6,16.1,0.0,23.0,70,1
9634,15,39.0,1983.0,0.26,34.5,103,45.9,72,5,16.1,0.0,35.0,70,2
4014,16,87.0,2489.0,0.0,30.2,95,26.3,69,6,16.1,4.7,1.99999999999998,90,0
1901,15,84.0,2417.0,0.2,26.3,95,26.3,66,6,16.1,0.299999999999998,4.99999999999999,70,0
5213,16,65.0,1323.0,-0.96,21.6,95,26.3,62,6,16.1,4.7,29.0,70,1
6740,14,32.0,1736.0,-0.18,34.9,99,49.4,74,5,16.1,0.0,56.0,70,2
22385,19,94.0,2714.0,-0.25,56.9,94,87.8,84,7,6.4,0.0,7.99999999999998,90,0
23040,20,74.0,2132.0,0.0,16.1,91,20.8,76,18,8.0,0.0,35.0,60,0
18942,19,68.0,2479.0,0.24,17.3,92,22.7,85,7,6.4,0.0,12.0,80,2
966,15,57.0,2056.0,0.24,82.0,99,82.0,64,9,8.0,2.4,28.0,60,1
3618,16,42.0,2125.0,0.34,31.4,95,26.3,61,6,16.1,4.7,30.0,90,0
1548,15,79.0,2235.0,0.35,37.6,80,61.6,69,6,16.1,0.299999999999998,6.99999999999999,60,0
7639,15,11.0,1018.0,0.48,80.0,99,77.3,74,5,16.1,0.0,48.0,70,1
20206,20,105.0,3141.0,-0.49,67.1,94,89.8,80,7,8.0,0.0,0.999999999999988,90,0
17007,19,85.0,2422.0,0.0,85.1,94,92.9,81,7,5.6,9.6,3.99999999999998,90,0
5193,16,99.0,2856.0,-0.26,27.8,95,26.3,62,6,16.1,4.7,7.99999999999998,90,0
17531,19,75.0,2720.0,0.43,60.4,91,89.0,81,7,6.4,4.8,105.0,60,7
2055,15,51.0,2568.0,0.79,82.0,95,26.3,66,9,8.0,2.4,83.0,90,9
7935,15,48.0,2436.0,0.5,82.0,99,72.2,76,5,16.1,0.0,33.0,70,1
17232,19,96.0,3479.0,-0.47,18.8,94,25.9,84,7,6.4,4.8,15.0,90,0
22517,15,103.0,2933.0,-0.26,84.3,92,92.5,100,7,8.0,0.0,2.99999999999999,90,0
